Stasjon;Komponent;Fra-tid;Til-tid;Verdi;Enhet;datadekning;Instrumentflagg;QA-flagg;QC-flagg;
Hjortnes;Benzoapyrene;01.01.2009 00:00;01.01.2010 00:00;0,36;ng/m³;0;0;0 (Gyldig);4 (Kvalitetsikret data);
Hjortnes;Benzoapyrene;01.01.2010 00:00;01.01.2011 00:00;0,54;ng/m³;0;0;0 (Gyldig);4 (Kvalitetsikret data);
Hjortnes;Benzoapyrene;01.01.2011 00:00;01.01.2012 00:00;0,31;ng/m³;0;0;0 (Gyldig);4 (Kvalitetsikret data);
Hjortnes;Benzoapyrene;01.01.2012 00:00;01.01.2013 00:00;0,19;ng/m³;0;0;0 (Gyldig);4 (Kvalitetsikret data);
Hjortnes;Benzoapyrene;01.01.2013 00:00;01.01.2014 00:00;0,3;ng/m³;0;0;0 (Gyldig);4 (Kvalitetsikret data);
Hjortnes;Benzoapyrene;01.01.2014 00:00;01.01.2015 00:00;0,34;ng/m³;0;0;0 (Gyldig);4 (Kvalitetsikret data);
Hjortnes;Benzoapyrene;01.01.2015 00:00;01.01.2016 00:00;0,31;ng/m³;0;0;0 (Gyldig);4 (Kvalitetsikret data);
Hjortnes;Benzoapyrene;01.01.2016 00:00;01.01.2017 00:00;0,45;ng/m³;0;0;0 (Gyldig);4 (Kvalitetsikret data);
Hjortnes;Benzoapyrene;01.01.2017 00:00;01.01.2018 00:00;0,37;ng/m³;0;0;0 (Gyldig);4 (Kvalitetsikret data);
Hjortnes;Benzoapyrene;01.01.2018 00:00;01.01.2019 00:00;0,28;ng/m³;0;0;0 (Gyldig);4 (Kvalitetsikret data);
Kirkeveien;Benzene;01.01.2008 00:00;01.01.2009 00:00;1,7;µg/m³;0;0;0 (Gyldig);4 (Kvalitetsikret data);
Kirkeveien;Benzene;01.01.2009 00:00;01.01.2010 00:00;1,5;µg/m³;0;0;0 (Gyldig);4 (Kvalitetsikret data);
Kirkeveien;Benzene;01.01.2010 00:00;01.01.2011 00:00;1,4;µg/m³;0;0;0 (Gyldig);4 (Kvalitetsikret data);
